01 ASTRAL.5.2.5 800 0 1000 1315.093
01 ASTRAL.5.2.5 800 0 200 128.375
01 ASTRAL.5.2.5 800 0 500 461.031
01 ASTRAL.5.2.5 800 0 50 17.859
01 ASTRAL.5.2.5 800 10 1000 1285.279
01 ASTRAL.5.2.5 800 10 200 118.667
01 ASTRAL.5.2.5 800 10 500 464.559
01 ASTRAL.5.2.5 800 10 50 14.45
01 ASTRAL.5.2.5 800 20 1000 1591.812
01 ASTRAL.5.2.5 800 20 200 75.96
01 ASTRAL.5.2.5 800 20 500 384.729
01 ASTRAL.5.2.5 800 20 50 11.734
01 ASTRAL.5.2.5 800 33 1000 722.321
01 ASTRAL.5.2.5 800 33 200 52.153
01 ASTRAL.5.2.5 800 33 500 230.433
01 ASTRAL.5.2.5 800 33 50 10.4
01 ASTRAL.5.2.5 800 3 1000 2349.064
01 ASTRAL.5.2.5 800 3 200 124.552
01 ASTRAL.5.2.5 800 3 500 377.296
01 ASTRAL.5.2.5 800 3 50 18.785
01 ASTRAL.5.2.5 800 5 1000 2338.154
01 ASTRAL.5.2.5 800 5 200 134.147
01 ASTRAL.5.2.5 800 5 500 440.68
01 ASTRAL.5.2.5 800 5 50 18.533
01 ASTRAL.5.2.5 800 75 1000 138.278
01 ASTRAL.5.2.5 800 75 200 22.303
01 ASTRAL.5.2.5 800 75 500 50.903
01 ASTRAL.5.2.5 800 75 50 7.113
01 ASTRAL.5.2.5 800 7 1000 2323.586
01 ASTRAL.5.2.5 800 7 200 143.442
01 ASTRAL.5.2.5 800 7 500 424.046
01 ASTRAL.5.2.5 800 7 50 17.165
01 ASTRAL.5.2.5 800 non 1000 877.215
01 ASTRAL.5.2.5 800 non 200 66.542
01 ASTRAL.5.2.5 800 non 500 257.495
01 ASTRAL.5.2.5 800 non 50 17.855
02 ASTRAL.5.2.5 1600 0 1000 442.651
02 ASTRAL.5.2.5 1600 0 200 23.089
02 ASTRAL.5.2.5 1600 0 500 110.943
02 ASTRAL.5.2.5 1600 0 50 5.158
02 ASTRAL.5.2.5 1600 10 1000 470.137
02 ASTRAL.5.2.5 1600 10 200 23.278
02 ASTRAL.5.2.5 1600 10 500 117.956
02 ASTRAL.5.2.5 1600 10 50 5.184
02 ASTRAL.5.2.5 1600 20 1000 411.158
02 ASTRAL.5.2.5 1600 20 200 23.125
02 ASTRAL.5.2.5 1600 20 500 113.605
02 ASTRAL.5.2.5 1600 20 50 5.92
02 ASTRAL.5.2.5 1600 33 1000 301.83
02 ASTRAL.5.2.5 1600 33 200 20.3
02 ASTRAL.5.2.5 1600 33 500 83.992
02 ASTRAL.5.2.5 1600 33 50 5.096
02 ASTRAL.5.2.5 1600 3 1000 451.893
02 ASTRAL.5.2.5 1600 3 200 25.174
02 ASTRAL.5.2.5 1600 3 500 114.606
02 ASTRAL.5.2.5 1600 3 50 6.055
02 ASTRAL.5.2.5 1600 5 1000 476.305
02 ASTRAL.5.2.5 1600 5 200 23.504
02 ASTRAL.5.2.5 1600 5 500 105.733
02 ASTRAL.5.2.5 1600 5 50 8.982
02 ASTRAL.5.2.5 1600 75 1000 154.736
02 ASTRAL.5.2.5 1600 75 200 15.664
02 ASTRAL.5.2.5 1600 75 500 48.339
02 ASTRAL.5.2.5 1600 75 50 4.983
02 ASTRAL.5.2.5 1600 7 1000 465.9
02 ASTRAL.5.2.5 1600 7 200 24.56
02 ASTRAL.5.2.5 1600 7 500 108.445
02 ASTRAL.5.2.5 1600 7 50 5.147
02 ASTRAL.5.2.5 1600 non 1000 429.623
02 ASTRAL.5.2.5 1600 non 200 23.205
02 ASTRAL.5.2.5 1600 non 500 105.147
02 ASTRAL.5.2.5 1600 non 50 7.435
02 ASTRAL.5.2.5 200 0 1000 1753.108
02 ASTRAL.5.2.5 200 0 200 109.524
02 ASTRAL.5.2.5 200 0 500 467.825
02 ASTRAL.5.2.5 200 0 50 13.431
02 ASTRAL.5.2.5 200 10 1000 1308.415
02 ASTRAL.5.2.5 200 10 200 97.107
02 ASTRAL.5.2.5 200 10 500 402.506
02 ASTRAL.5.2.5 200 10 50 12.526
02 ASTRAL.5.2.5 200 20 1000 810.802
02 ASTRAL.5.2.5 200 20 200 46.16
02 ASTRAL.5.2.5 200 20 500 328.143
02 ASTRAL.5.2.5 200 20 50 8.532
02 ASTRAL.5.2.5 200 33 1000 304.565
02 ASTRAL.5.2.5 200 33 200 33.85
02 ASTRAL.5.2.5 200 33 500 137.936
02 ASTRAL.5.2.5 200 33 50 10.079
02 ASTRAL.5.2.5 200 3 1000 1594.258
02 ASTRAL.5.2.5 200 3 200 146.887
02 ASTRAL.5.2.5 200 3 500 576.381
02 ASTRAL.5.2.5 200 3 50 14.135
02 ASTRAL.5.2.5 200 5 1000 1474.369
02 ASTRAL.5.2.5 200 5 200 134.234
02 ASTRAL.5.2.5 200 5 500 568.347
02 ASTRAL.5.2.5 200 5 50 14.654
02 ASTRAL.5.2.5 200 75 1000 129.759
02 ASTRAL.5.2.5 200 75 200 25.088
02 ASTRAL.5.2.5 200 75 500 54.444
02 ASTRAL.5.2.5 200 75 50 5.369
02 ASTRAL.5.2.5 200 7 1000 1351.072
02 ASTRAL.5.2.5 200 7 200 99.255
02 ASTRAL.5.2.5 200 7 500 470.677
02 ASTRAL.5.2.5 200 7 50 14.231
02 ASTRAL.5.2.5 200 non 1000 801.486
02 ASTRAL.5.2.5 200 non 200 60.804
02 ASTRAL.5.2.5 200 non 500 234.631
02 ASTRAL.5.2.5 200 non 50 14.216
02 ASTRAL.5.2.5 400 0 1000 913.037
02 ASTRAL.5.2.5 400 0 200 40.52
02 ASTRAL.5.2.5 400 0 500 210.881
02 ASTRAL.5.2.5 400 0 50 8.883
02 ASTRAL.5.2.5 400 10 1000 644.846
02 ASTRAL.5.2.5 400 10 200 36.498
02 ASTRAL.5.2.5 400 10 500 188.927
02 ASTRAL.5.2.5 400 10 50 8.718
02 ASTRAL.5.2.5 400 20 1000 432.084
02 ASTRAL.5.2.5 400 20 200 36.207
02 ASTRAL.5.2.5 400 20 500 128.299
02 ASTRAL.5.2.5 400 20 50 6.782
02 ASTRAL.5.2.5 400 33 1000 212.86
02 ASTRAL.5.2.5 400 33 200 27.311
02 ASTRAL.5.2.5 400 33 500 75.625
02 ASTRAL.5.2.5 400 33 50 6.518
02 ASTRAL.5.2.5 400 3 1000 799.002
02 ASTRAL.5.2.5 400 3 200 40.345
02 ASTRAL.5.2.5 400 3 500 200.036
02 ASTRAL.5.2.5 400 3 50 9.682
02 ASTRAL.5.2.5 400 5 1000 739.099
02 ASTRAL.5.2.5 400 5 200 38.949
02 ASTRAL.5.2.5 400 5 500 203.967
02 ASTRAL.5.2.5 400 5 50 12.247
02 ASTRAL.5.2.5 400 75 1000 117.007
02 ASTRAL.5.2.5 400 75 200 23.75
02 ASTRAL.5.2.5 400 75 500 49.596
02 ASTRAL.5.2.5 400 75 50 8.894
02 ASTRAL.5.2.5 400 7 1000 727.232
02 ASTRAL.5.2.5 400 7 200 39.67
02 ASTRAL.5.2.5 400 7 500 192.199
02 ASTRAL.5.2.5 400 7 50 7.852
02 ASTRAL.5.2.5 400 non 1000 579.894
02 ASTRAL.5.2.5 400 non 200 37.815
02 ASTRAL.5.2.5 400 non 500 151.82
02 ASTRAL.5.2.5 400 non 50 9.804
02 ASTRAL.5.2.5 800 0 1000 514.555
02 ASTRAL.5.2.5 800 0 200 27.333
02 ASTRAL.5.2.5 800 0 500 129.601
