1X	1500	1	256	ASTRAL2	18.53
1X	1500	2	256	ASTRAL2	18.092
1X	1500	3	256	ASTRAL2	18.246
1X	1500	4	256	ASTRAL2	18.272
1X	1500	1	512	ASTRAL2	61.166
1X	1500	2	512	ASTRAL2	56.989
1X	1500	3	512	ASTRAL2	59.133
1X	1500	4	512	ASTRAL2	58.54
1X	1500	1	1024	ASTRAL2	254.637
1X	1500	2	1024	ASTRAL2	252.247
1X	1500	3	1024	ASTRAL2	383.993
1X	1500	4	1024	ASTRAL2	247.359
1X	1500	1	2048	ASTRAL2	1317.518
1X	1500	2	2048	ASTRAL2	1270.189
1X	1500	3	2048	ASTRAL2	1272.995
1X	1500	4	2048	ASTRAL2	1888.482
1X	1500	1	4096	ASTRAL2	10365.989
1X	1500	2	4096	ASTRAL2	7018.266
1X	1500	3	4096	ASTRAL2	7046.073
1X	1500	4	4096	ASTRAL2	7125.001
1X	1500	1	8192	ASTRAL2	54779.816
1X	1500	2	8192	ASTRAL2	36501.158
1X	1500	3	8192	ASTRAL2	54842.197
1X	1500	4	8192	ASTRAL2	35363.303
1X	1500	1	16384	ASTRAL2	172800
1X	1500	2	16384	ASTRAL2	172800
1X	1500	3	16384	ASTRAL2	172800
1X	1500	4	16384	ASTRAL2	172800
1X	1500	1	256	ASTRAL3	18.455
1X	1500	2	256	ASTRAL3	12.145
1X	1500	3	256	ASTRAL3	12.157
1X	1500	4	256	ASTRAL3	12.403
1X	1500	1	512	ASTRAL3	28.854
1X	1500	2	512	ASTRAL3	27.938
1X	1500	3	512	ASTRAL3	28.22
1X	1500	4	512	ASTRAL3	28.215
1X	1500	1	1024	ASTRAL3	98.484
1X	1500	2	1024	ASTRAL3	138.128
1X	1500	3	1024	ASTRAL3	96.793
1X	1500	4	1024	ASTRAL3	91.312
1X	1500	1	2048	ASTRAL3	406.801
1X	1500	2	2048	ASTRAL3	405.581
1X	1500	3	2048	ASTRAL3	654.785
1X	1500	4	2048	ASTRAL3	608.452
1X	1500	1	4096	ASTRAL3	2966.422
1X	1500	2	4096	ASTRAL3	1931.186
1X	1500	3	4096	ASTRAL3	1978.24
1X	1500	4	4096	ASTRAL3	1838.299
1X	1500	1	8192	ASTRAL3	13721.107
1X	1500	2	8192	ASTRAL3	8873
1X	1500	3	8192	ASTRAL3	13944.405
1X	1500	4	8192	ASTRAL3	8970.484
1X	1500	1	16384	ASTRAL3	60802.85
1X	1500	2	16384	ASTRAL3	40588.17
1X	1500	3	16384	ASTRAL3	62224.883
1X	1500	4	16384	ASTRAL3	39301.863
1X	500	1	256	ASTRAL2	35.652
1X	500	2	256	ASTRAL2	23.378
1X	500	3	256	ASTRAL2	23.153
1X	500	4	256	ASTRAL2	36.646
1X	500	1	512	ASTRAL2	106.225
1X	500	2	512	ASTRAL2	71.075
1X	500	3	512	ASTRAL2	109.862
1X	500	4	512	ASTRAL2	73.49
1X	500	1	1024	ASTRAL2	416.35
1X	500	2	1024	ASTRAL2	293.39
1X	500	3	1024	ASTRAL2	436.205
1X	500	4	1024	ASTRAL2	446.902
1X	500	1	2048	ASTRAL2	2123.474
1X	500	2	2048	ASTRAL2	2080.077
1X	500	3	2048	ASTRAL2	2036.523
1X	500	4	2048	ASTRAL2	1429.604
1X	500	1	4096	ASTRAL2	7265.063
1X	500	2	4096	ASTRAL2	10957.817
1X	500	3	4096	ASTRAL2	7169.879
1X	500	4	4096	ASTRAL2	7361.544
1X	500	1	8192	ASTRAL2	58581.018
1X	500	2	8192	ASTRAL2	38568.236
1X	500	3	8192	ASTRAL2	40086.934
1X	500	4	8192	ASTRAL2	39446.501
1X	500	1	16384	ASTRAL2	172800
1X	500	2	16384	ASTRAL2	172800
1X	500	3	16384	ASTRAL2	172800
1X	500	4	16384	ASTRAL2	172800
1X	500	1	256	ASTRAL3	25.485
1X	500	2	256	ASTRAL3	25.124
1X	500	3	256	ASTRAL3	16.706
1X	500	4	256	ASTRAL3	25.464
1X	500	1	512	ASTRAL3	59.225
1X	500	2	512	ASTRAL3	39.434
1X	500	3	512	ASTRAL3	60.06
1X	500	4	512	ASTRAL3	59.114
1X	500	1	1024	ASTRAL3	193.231
1X	500	2	1024	ASTRAL3	131.977
1X	500	3	1024	ASTRAL3	196.078
1X	500	4	1024	ASTRAL3	136.528
1X	500	1	2048	ASTRAL3	543.367
1X	500	2	2048	ASTRAL3	827.925
1X	500	3	2048	ASTRAL3	829.999
1X	500	4	2048	ASTRAL3	842.117
1X	500	1	4096	ASTRAL3	2715.156
1X	500	2	4096	ASTRAL3	3866.417
1X	500	3	4096	ASTRAL3	3849.825
1X	500	4	4096	ASTRAL3	3870.459
1X	500	1	8192	ASTRAL3	18533.766
1X	500	2	8192	ASTRAL3	18493.867
1X	500	3	8192	ASTRAL3	13104.807
1X	500	4	8192	ASTRAL3	13257.121
1X	500	1	16384	ASTRAL3	114958.781
1X	500	2	16384	ASTRAL3	63636.87
1X	500	3	16384	ASTRAL3	95989.76
1X	500	4	16384	ASTRAL3	63544.932
2X	500	1	256	ASTRAL2	20.124
2X	500	2	256	ASTRAL2	30.998
2X	500	3	256	ASTRAL2	30.448
2X	500	4	256	ASTRAL2	29.39
2X	500	1	512	ASTRAL2	64.841
2X	500	2	512	ASTRAL2	98.138
2X	500	3	512	ASTRAL2	61.302
2X	500	4	512	ASTRAL2	96.162
2X	500	1	1024	ASTRAL2	420.621
2X	500	2	1024	ASTRAL2	431.791
2X	500	3	1024	ASTRAL2	270.955
2X	500	4	1024	ASTRAL2	273.015
2X	500	1	2048	ASTRAL2	1421.23
2X	500	2	2048	ASTRAL2	1404.296
2X	500	3	2048	ASTRAL2	2102.413
2X	500	4	2048	ASTRAL2	1393.316
2X	500	1	4096	ASTRAL2	11530.513
