0.5X	1000	500	20	t50	0.177777778						
0.5X	1000	500	20	t7	0.088888889						
0.5X	1000	500	20	t75	0.244444444						
0.5X	1000	500	3	ori	0.133333333						
0.5X	1000	500	3	t0	0.111111111						
0.5X	1000	500	3	t10	0.133333333						
0.5X	1000	500	3	t20	0.155555556						
0.5X	1000	500	3	t3	0.155555556						
0.5X	1000	500	3	t33	0.222222222						
0.5X	1000	500	3	t5	0.155555556						
0.5X	1000	500	3	t50	0.244444444						
0.5X	1000	500	3	t7	0.177777778						
0.5X	1000	500	3	t75	0.222222222						
0.5X	1000	500	4	ori	0.244444444						
0.5X	1000	500	4	t0	0.222222222						
0.5X	1000	500	4	t10	0.2						
0.5X	1000	500	4	t20	0.222222222						
0.5X	1000	500	4	t3	0.2						
0.5X	1000	500	4	t33	0.222222222						
0.5X	1000	500	4	t5	0.111111111						
0.5X	1000	500	4	t50	0.288888889						
0.5X	1000	500	4	t7	0.2						
0.5X	1000	500	4	t75	0.266666667						
0.5X	1000	500	5	ori	0.155555556						
0.5X	1000	500	5	t0	0.088888889						
0.5X	1000	500	5	t10	0.155555556						
0.5X	1000	500	5	t20	0.133333333						
0.5X	1000	500	5	t3	0.111111111						
0.5X	1000	500	5	t33	0.2						
0.5X	1000	500	5	t5	0.133333333						
0.5X	1000	500	5	t50	0.2						
0.5X	1000	500	5	t7	0.088888889						
0.5X	1000	500	5	t75	0.288888889						
0.5X	1000	500	6	ori	0.111111111						
0.5X	1000	500	6	t0	0.066666667						
0.5X	1000	500	6	t10	0.133333333						
0.5X	1000	500	6	t20	0.155555556						
0.5X	1000	500	6	t3	0.088888889						
0.5X	1000	500	6	t33	0.111111111						
0.5X	1000	500	6	t5	0.111111111						
0.5X	1000	500	6	t50	0.155555556						
0.5X	1000	500	6	t7	0.111111111						
0.5X	1000	500	6	t75	0.311111111						
0.5X	1000	500	7	ori	0.133333333						
0.5X	1000	500	7	t0	0.177777778						
0.5X	1000	500	7	t10	0.133333333						
0.5X	1000	500	7	t20	0.222222222						
0.5X	1000	500	7	t3	0.111111111						
0.5X	1000	500	7	t33	0.111111111						
0.5X	1000	500	7	t5	0.133333333						
0.5X	1000	500	7	t50	0.155555556						
0.5X	1000	500	7	t7	0.111111111						
0.5X	1000	500	7	t75	0.266666667						
0.5X	1000	500	8	ori	0.133333333						
0.5X	1000	500	8	t0	0.133333333						
0.5X	1000	500	8	t10	0.088888889						
0.5X	1000	500	8	t20	0.088888889						
0.5X	1000	500	8	t3	0.066666667						
0.5X	1000	500	8	t33	0.244444444						
0.5X	1000	500	8	t5	0.044444444						
0.5X	1000	500	8	t50	0.266666667						
0.5X	1000	500	8	t7	0.044444444						
0.5X	1000	500	8	t75	0.222222222						
0.5X	1000	500	9	ori	0.111111111						
0.5X	1000	500	9	t0	0.066666667						
0.5X	1000	500	9	t10	0.133333333						
0.5X	1000	500	9	t20	0.133333333						
0.5X	1000	500	9	t3	0.133333333						
0.5X	1000	500	9	t33	0.2						
0.5X	1000	500	9	t5	0.111111111						
0.5X	1000	500	9	t50	0.2						
0.5X	1000	500	9	t7	0.133333333						
0.5X	1000	500	9	t75	0.266666667						
1X	1000	1000	1	ori	0.066666667						
1X	1000	1000	1	t0	0.066666667						
1X	1000	1000	1	t10	0.044444444						
1X	1000	1000	1	t20	0.022222222						
1X	1000	1000	1	t3	0.044444444						
1X	1000	1000	1	t33	0.088888889						
1X	1000	1000	1	t5	0.066666667						
1X	1000	1000	1	t50	0.066666667						
1X	1000	1000	1	t7	0.044444444						
1X	1000	1000	1	t75	0.133333333						
1X	1000	1000	10	ori	0.044444444						
1X	1000	1000	10	t0	0.066666667						
1X	1000	1000	10	t10	0.044444444						
1X	1000	1000	10	t20	0.022222222						
1X	1000	1000	10	t3	0.044444444						
1X	1000	1000	10	t33	0.022222222						
1X	1000	1000	10	t5	0.044444444						
1X	1000	1000	10	t50	0.088888889						
1X	1000	1000	10	t7	0.044444444						
1X	1000	1000	10	t75	0.133333333						
1X	1000	1000	11	ori	0.088888889						
1X	1000	1000	11	t0	0.088888889						
1X	1000	1000	11	t10	0.044444444						
1X	1000	1000	11	t20	0.044444444						
1X	1000	1000	11	t3	0.088888889						
1X	1000	1000	11	t33	0.066666667						
1X	1000	1000	11	t5	0.088888889						
1X	1000	1000	11	t50	0.133333333						
1X	1000	1000	11	t7	0.088888889						
1X	1000	1000	11	t75	0.133333333						
1X	1000	1000	12	ori	0.088888889						
1X	1000	1000	12	t0	0.088888889						
1X	1000	1000	12	t10	0.111111111						
1X	1000	1000	12	t20	0.044444444						
1X	1000	1000	12	t3	0.088888889						
1X	1000	1000	12	t33	0.044444444						
1X	1000	1000	12	t5	0.088888889						
1X	1000	1000	12	t50	0.066666667						
1X	1000	1000	12	t7	0.066666667						
1X	1000	1000	12	t75	0.2						
1X	1000	1000	13	ori	0.022222222						
1X	1000	1000	13	t0	0.022222222						
1X	1000	1000	13	t10	0.044444444						
1X	1000	1000	13	t20	0.044444444						
1X	1000	1000	13	t3	0						
1X	1000	1000	13	t33	0.066666667						
1X	1000	1000	13	t5	0						
1X	1000	1000	13	t50	0.111111111						
1X	1000	1000	13	t7	0						
1X	1000	1000	13	t75	0.2						
1X	1000	1000	14	ori	0.066666667						
1X	1000	1000	14	t0	0.088888889						
1X	1000	1000	14	t10	0.088888889						
1X	1000	1000	14	t20	0.088888889						
1X	1000	1000	14	t3	0.088888889						
1X	1000	1000	14	t33	0.088888889						
1X	1000	1000	14	t5	0.088888889						
1X	1000	1000	14	t50	0.111111111						
1X	1000	1000	14	t7	0.111111111						
1X	1000	1000	14	t75	0.177777778						
1X	1000	1000	15	ori	0.044444444						
1X	1000	1000	15	t0	0.022222222						
1X	1000	1000	15	t10	0.044444444						
1X	1000	1000	15	t20	0.088888889						
1X	1000	1000	15	t3	0.066666667						
1X	1000	1000	15	t33	0.111111111						
1X	1000	1000	15	t5	0.088888889						
1X	1000	1000	15	t50	0.088888889						
1X	1000	1000	15	t7	0.088888889						
1X	1000	1000	15	t75	0.2						
1X	1000	1000	16	ori	0.044444444						
1X	1000	1000	16	t0	0.044444444						
1X	1000	1000	16	t10	0.022222222						
1X	1000	1000	16	t20	0.044444444						
1X	1000	1000	16	t3	0.022222222						
1X	1000	1000	16	t33	0.044444444						
1X	1000	1000	16	t5	0.044444444						
1X	1000	1000	16	t50	0.022222222						
1X	1000	1000	16	t7	0.044444444						
1X	1000	1000	16	t75	0.111111111						
1X	1000	1000	17	ori	0.088888889						
1X	1000	1000	17	t0	0.088888889						
1X	1000	1000	17	t10	0.088888889						
1X	1000	1000	17	t20	0.133333333						
1X	1000	1000	17	t3	0.088888889						
1X	1000	1000	17	t33	0.155555556						
1X	1000	1000	17	t5	0.088888889						
1X	1000	1000	17	t50	0.155555556						
1X	1000	1000	17	t7	0.111111111						
1X	1000	1000	17	t75	0.222222222						
1X	1000	1000	18	ori	0.022222222						
1X	1000	1000	18	t0	0.044444444						
1X	1000	1000	18	t10	0.044444444						
1X	1000	1000	18	t20	0.066666667						
1X	1000	1000	18	t3	0.044444444						
1X	1000	1000	18	t33	0.111111111						
1X	1000	1000	18	t5	0.044444444						
1X	1000	1000	18	t50	0.133333333						
1X	1000	1000	18	t7	0						
1X	1000	1000	18	t75	0.155555556						
1X	1000	1000	19	ori	0.022222222						
1X	1000	1000	19	t0	0.022222222						
1X	1000	1000	19	t10	0.044444444						
1X	1000	1000	19	t20	0.044444444						
