2X-1000-500-all	1	2048	log2	1421.23
2X-1000-500-all	2	2048	log2	1404.296
2X-1000-500-all	3	2048	log2	2102.413
2X-1000-500-all	4	2048	log2	1393.316
2X-1000-500-all	1	4096	log2	11530.513
2X-1000-500-all	2	4096	log2	7508.479
2X-1000-500-all	3	4096	log2	7185.86
2X-1000-500-all	4	4096	log2	7542.386
2X-1000-500-all	1	8192	log2	38729.628
2X-1000-500-all	2	8192	log2	39279.488
2X-1000-500-all	3	8192	log2	38769.311
2X-1000-500-all	4	8192	log2	40008.881
2X-1000-500-all	1	16384	log2	172800
2X-1000-500-all	2	16384	log2	172800
2X-1000-500-all	3	16384	log2	172800
2X-1000-500-all	4	16384	log2	172800
2X-1000-500-all	1	256	log3	14.187
2X-1000-500-all	2	256	log3	21.254
2X-1000-500-all	3	256	log3	13.903
2X-1000-500-all	4	256	log3	25.076
2X-1000-500-all	1	512	log3	33.433
2X-1000-500-all	2	512	log3	50.929
2X-1000-500-all	3	512	log3	47.238
2X-1000-500-all	4	512	log3	51.021
2X-1000-500-all	1	1024	log3	171.814
2X-1000-500-all	2	1024	log3	117.206
2X-1000-500-all	3	1024	log3	110.233
2X-1000-500-all	4	1024	log3	114.566
2X-1000-500-all	1	2048	log3	502.521
2X-1000-500-all	2	2048	log3	495.852
2X-1000-500-all	3	2048	log3	737.112
2X-1000-500-all	4	2048	log3	483.098
2X-1000-500-all	1	4096	log3	2301.355
2X-1000-500-all	2	4096	log3	2229.509
2X-1000-500-all	3	4096	log3	2298.577
2X-1000-500-all	4	4096	log3	2269.685
2X-1000-500-all	1	8192	log3	16339.609
2X-1000-500-all	2	8192	log3	10634.944
2X-1000-500-all	3	8192	log3	10763.497
2X-1000-500-all	4	8192	log3	10930.618
2X-1000-500-all	1	16384	log3	48495.559
2X-1000-500-all	2	16384	log3	48197.611
2X-1000-500-all	3	16384	log3	49300.099
2X-1000-500-all	4	16384	log3	73820.424
