124 ASTRALII non 1000 193 9 .0466
124 ASTRALII non 500 193 13 .0674
124 ASTRALII non 2000 193 10 .0518
125 ASTRALII non 1000 174 21 .1207
125 ASTRALII non 500 174 37 .2126
125 ASTRALII non 2000 174 11 .0632
126 ASTRALII non 1000 63 3 .0476
126 ASTRALII non 500 63 3 .0476
126 ASTRALII non 2000 63 1 .0159
127 ASTRALII non 1000 198 3 .0152
127 ASTRALII non 500 198 2 .0101
127 ASTRALII non 2000 198 2 .0101
128 ASTRALII non 1000 182 11 .0604
128 ASTRALII non 500 182 14 .0769
128 ASTRALII non 2000 182 8 .044
129 ASTRALII non 1000 161 5 .0311
129 ASTRALII non 500 161 7 .0435
129 ASTRALII non 2000 161 3 .0186
130 ASTRALII non 1000 102 2 .0196
130 ASTRALII non 500 102 2 .0196
130 ASTRALII non 2000 102 2 .0196
131 ASTRALII non 1000 89 4 .0449
131 ASTRALII non 500 89 3 .0337
131 ASTRALII non 2000 89 4 .0449
132 ASTRALII non 1000 93 0 0
132 ASTRALII non 500 93 2 .0215
132 ASTRALII non 2000 93 0 0
133 ASTRALII non 1000 53 1 .0189
133 ASTRALII non 500 53 2 .0377
133 ASTRALII non 2000 53 1 .0189
134 ASTRALII non 1000 142 1 .007
134 ASTRALII non 500 142 2 .0141
134 ASTRALII non 2000 142 1 .007
135 ASTRALII non 1000 72 10 .1389
135 ASTRALII non 500 72 13 .1806
135 ASTRALII non 2000 72 7 .0972
136 ASTRALII non 1000 82 4 .0488
136 ASTRALII non 500 82 3 .0366
136 ASTRALII non 2000 82 4 .0488
137 ASTRALII non 1000 112 1 .0089
137 ASTRALII non 500 112 1 .0089
137 ASTRALII non 2000 112 1 .0089
138 ASTRALII non 1000 120 12 .1
138 ASTRALII non 500 120 13 .1083
138 ASTRALII non 2000 120 11 .0917
139 ASTRALII non 1000 86 0 0
139 ASTRALII non 500 86 0 0
139 ASTRALII non 2000 86 0 0
140 ASTRALII non 1000 88 1 .0114
140 ASTRALII non 500 88 2 .0227
140 ASTRALII non 2000 88 1 .0114
141 ASTRALII non 1000 70 2 .0286
141 ASTRALII non 500 70 2 .0286
141 ASTRALII non 2000 70 0 0
142 ASTRALII non 1000 147 17 .1156
142 ASTRALII non 500 147 19 .1293
142 ASTRALII non 2000 147 16 .1088
143 ASTRALII non 1000 193 15 .0777
