Replicate Speciation-rate Extinction-rate Ingroup-divergence/divergence-to-the-ingroup-ratio Number-of-leaves Generations Haploid-efective-population-size Global-substitution-rate Lineage-(species)-specific-rate-heterogeneity-gamma-shape Gene-family-(locus-tree)-specific-rate-heterogeneity-gamma-shape Individuals-per-species ASTRAL-quartetScore outgroup-miss-replacement mean-seq-length
057 0.00000024839000 0.00000022154250 1.5 89.0 6354354.0 951886.0 0.00000005522224000 6.15972900 3.66893900 1.0 0.784549042341274 2000 371.491
058 0.00000019074370 0.00000012374270 1.5 132.0 3827987.0 132265.0 0.00000003214651000 2.14270300 4.76749300 1.0 0.9160221476394237 2000 341.317
059 0.00000097255590 0.00000042136090 1.5 102.0 8610866.0 384741.0 0.00000001720972000 0.68696260 7.22400200 1.0 0.9480022899502971 2000 502.741
060 0.00000029362590 0.00000012846220 1.5 91.0 939234.2 46141.0 0.00000007102639000 2.89698300 0.96758540 1.0 0.8590896326438583 2000 1307.24
061 0.00000012022430 0.00000011979300 1.5 104.0 2233549.0 660552.0 0.00000003572424000 5.02794800 7.14338100 1.0 0.5880600110245742 1976 1126.08
062 0.00000017192880 0.00000012362170 1.5 159.0 6429104.0 368351.0 0.00000000710654700 9.04484900 2.95474200 1.0 0.8459722401115677 2000 337.284
063 0.00000011564830 0.00000011127450 1.5 170.0 4294779.0 600327.0 0.00000002093451000 11.80321000 8.28733600 1.0 0.7160411998496066 2000 563.664
064 0.00000046065380 0.00000022024510 1.5 151.0 1267108.0 773525.0 0.00000005845681000 3.70321000 6.23542600 1.0 0.4849974129844367 1680 1073.85
065 0.00000028809400 0.00000016604330 1.5 156.0 3508886.0 531945.0 0.00000001280841000 6.05334500 4.63816100 1.0 0.7093823099234852 2000 447.115
066 0.00000054174620 0.00000010477640 1.5 185.0 2740063.0 441724.0 0.00000005124560000 0.81259120 11.52057000 1.0 0.750957028085497 2000 1113.84
067 0.00000060108110 0.00000011473440 1.5 55.0 2463106.0 515487.0 0.00000001198928000 4.10111200 6.27710500 1.0 0.787651501538294 1996 378.757
068 0.00000015252380 0.00000014377170 1.5 95.0 1842292.0 786976.0 0.00000004120645000 4.10688900 11.14477000 1.0 0.5366746342520681 1894 508.339
069 0.00000012485050 0.00000011728570 1.5 58.0 9612636.0 513420.0 0.00000005009952000 5.16299500 3.40964300 1.0 0.8941173565122625 2000 380.24
070 0.00000029753190 0.00000010730240 1.5 160.0 3865672.0 313674.0 0.00000002299669000 3.91775900 1.34175700 1.0 0.7646712595886113 2000 889.603
071 0.00000058534670 0.00000011362430 1.5 146.0 270022.4 677831.0 0.00000002326353000 6.14219700 6.24853000 1.0 0.3890992522201764 343 999.573
072 0.00000025824780 0.00000015584990 1.5 81.0 1408172.0 67347.0 0.00000002227118000 2.34439800 4.96630400 1.0 0.8733133182966851 2000 721.956
073 0.00000024847530 0.00000012718820 1.5 168.0 3435461.0 546767.0 0.00000003280698000 8.99699300 7.08952000 1.0 0.5950950126247418 1999 419.897
074 0.00000030517060 0.00000016027300 1.5 88.0 457569.7 293683.0 0.00000003896652000 9.12396100 4.07937900 1.0 0.46621289153211837 1647 826.861
075 0.00000050420400 0.00000010310730 1.5 111.0 1360456.0 674937.0 0.00000004269738000 2.37034000 4.02352500 1.0 0.511360102691754 1818 1226.06
076 0.00000038276630 0.00000011415330 1.5 96.0 4218843.0 78457.0 0.00000007309024000 0.92630790 4.09035600 1.0 0.8779321857574953 2000 524.014
077 0.00000046759080 0.00000037018480 1.5 136.0 2706659.0 346649.0 0.00000002324765000 7.17554400 4.48720100 1.0 0.7558796555009409 2000 906.859
078 0.00000018399200 0.00000010728310 1.5 148.0 4584723.0 761673.0 0.00000002062955000 2.01982600 1.92333300 1.0 0.6837603134502883 2000 260.858
079 0.00000079799920 0.00000020504960 1.5 194.0 3741613.0 459328.0 0.00000001997863000 0.18877700 4.26276200 1.0 0.8102206417121729 2000 839.236
080 0.00000037401710 0.00000026559440 1.5 120.0 330067.4 557595.0 0.00000004803146000 2.67472600 1.14759900 1.0 0.39242735194652173 675 777.132
081 0.00000054930110 0.00000018884160 1.5 190.0 3926681.0 169501.0 0.00000003223592000 5.88667600 7.59802000 1.0 0.886458280778624 2000 664.163
082 0.00000081550970 0.00000057108210 1.5 177.0 1523298.0 172208.0 0.00000002371915000 3.35116800 10.47240000 1.0 0.7299606671456519 2000 1346.37
083 0.00000014659140 0.00000014125910 1.5 106.0 5016133.0 44343.0 0.00000002593403000 5.82248100 9.33783800 1.0 0.9881834755968771 2000 841.832
084 0.00000054645350 0.00000045628500 1.5 103.0 1475363.0 90468.0 0.00000002253232000 15.61099000 7.15219200 1.0 0.8244760063121367 2000 318.101
085 0.00000026589820 0.00000024159820 1.5 183.0 3042526.0 332665.0 0.00000000758770600 1.81397900 3.41713700 1.0 0.7734008883969938 2000 253.109
086 0.00000025587740 0.00000014116690 1.5 84.0 1931887.0 485831.0 0.00000001855247000 4.89207600 4.81215200 1.0 0.6756023311116983 1996 853.696
087 0.00000029153550 0.00000023906890 1.5 116.0 1221326.0 616442.0 0.00000007456691000 2.94491300 4.81359800 1.0 0.5186866787928572 1819 1320.68
088 0.00000017691570 0.00000016045970 1.5 72.0 6553014.0 510614.0 0.00000003462505000 15.05045000 1.94718600 1.0 0.8496280495759948 2000 719.188
089 0.00000015511210 0.00000011752520 1.5 128.0 605102.1 286307.0 0.00000003199291000 4.84624900 9.66931500 1.0 0.4915822687861692 1841 481.075
090 0.00000084410120 0.00000022014780 1.5 115.0 271211.5 969657.0 0.00000005019465000 1.80210100 3.83372500 1.0 0.3621111775504888 200 639.514
091 0.00000072822700 0.00000036192140 1.5 131.0 1390794.0 560906.0 0.00000006006604000 2.82590900 7.33721600 1.0 0.5170670796095437 1914 549.841
092 0.00000027954550 0.00000011149910 1.5 137.0 2157570.0 375596.0 0.00000002194247000 6.78817100 5.97036900 1.0 0.6298098257011469 1999 307.033
093 0.00000069535910 0.00000066508930 1.5 65.0 4816945.0 794413.0 0.00000002347130000 3.74902900 4.67432100 1.0 0.8659322205572205 2000 458.553
094 0.00000010517820 0.00000010062840 1.5 117.0 16588820.0 830625.0 0.00000005819487000 7.84305700 5.25428300 1.0 0.8693613122382746 2000 634.945
095 0.00000065415920 0.00000017225800 1.5 80.0 2580639.0 775989.0 0.00000001435583000 11.43849000 4.04731200 1.0 0.6673043128734057 1983 677.465
096 0.00000011678000 0.00000010090100 1.5 74.0 929255.0 556556.0 0.00000007328154000 2.50418000 3.16003600 1.0 0.5408671640133283 1719 1195.42
097 0.00000017450490 0.00000010413640 1.5 144.0 2662740.0 643513.0 0.00000000789770700 17.65355000 12.74910000 1.0 0.5918437400870136 1997 1215.72
098 0.00000028520410 0.00000027406550 1.5 104.0 2468544.0 486624.0 0.00000001733550000 2.39243600 2.27125300 1.0 0.6973073113636792 1999 756.518
099 0.00000044169350 0.00000035991720 1.5 108.0 1767736.0 619523.0 0.00000001348684000 18.84468000 6.02164300 1.0 0.5895810178257281 1955 534.46
100 0.00000097294160 0.00000066925590 1.5 151.0 629041.7 195333.0 0.00000007041339000 1.72351600 4.39335700 1.0 0.5825101480299709 1974 1734.65
101 0.00000014058300 0.00000011674610 1.5 115.0 5778937.0 805701.0 0.00000003165690000 46.13404000 4.62542500 1.0 0.7229555601798542 2000 701.99
102 0.00000030887790 0.00000024598540 1.5 105.0 2779371.0 293516.0 0.00000001322872000 5.36535200 2.98461100 1.0 0.7895142821915216 2000 313.633
103 0.00000015230530 0.00000015198090 1.5 183.0 9317634.0 227780.0 0.00000004630170000 2.60157400 5.01880800 1.0 0.933549188203652 2000 1409.8
104 0.00000012281280 0.00000010733590 1.5 112.0 255610.0 443336.0 0.00000003449053000 1.00113900 8.29895200 1.0 0.39023877334695917 579 571.952
105 0.00000039080800 0.00000035922510 1.5 197.0 1994322.0 575380.0 0.00000002573516000 2.27143900 7.75894600 1.0 0.5965412084491127 1982 509.748
106 0.00000016317230 0.00000015096970 1.5 125.0 2610170.0 899662.0 0.00000004480631000 10.18705000 1.64252700 1.0 0.5456441720430107 1952 1146.34
107 0.00000017328060 0.00000013833030 1.5 163.0 1210081.0 197608.0 0.00000000820760700 12.63593000 5.32287300 1.0 0.5668733855676781 2000 708.166
108 0.00000010969300 0.00000010235070 1.5 195.0 4629428.0 355044.0 0.00000005529954000 3.93561800 4.45219500 1.0 0.730430543324067 2000 811.319
109 0.00000012644910 0.00000012067300 1.5 95.0 1795302.0 667326.0 0.00000001037616000 3.15965100 6.28352600 1.0 0.5673410947151681 1932 342.736
110 0.00000037722850 0.00000021455880 1.5 172.0 4287800.0 233682.0 0.00000004179116000 3.22096300 4.55022500 1.0 0.8041812701752721 2000 1475.81
111 0.00000070118420 0.00000062170650 1.5 108.0 257183.9 96812.0 0.00000001912095000 5.01702800 17.47260000 1.0 0.5601214653086837 1938 532.143
112 0.00000010221100 0.00000010051470 1.5 161.0 10784940.0 268504.0 0.00000007349243000 2.72023200 2.20627800 1.0 0.9377556064111301 2000 761.944
113 0.00000034969310 0.00000014782760 1.5 106.0 8993226.0 981862.0 0.00000003920617000 4.08549900 4.39335500 1.0 0.8546831843522374 2000 765.389
114 0.00000024504650 0.00000011735510 1.5 98.0 3377053.0 705713.0 0.00000002677911000 3.96659400 22.30387000 1.0 0.7528848139771372 1999 754.346
115 0.00000037018080 0.00000010196550 1.5 83.0 535393.6 126383.0 0.00000005426071000 8.64725200 11.73191000 1.0 0.6399169720565058 1990 431.838
116 0.00000011990740 0.00000011468000 1.5 80.0 3603931.0 309934.0 0.00000003036986000 9.41949900 9.20130300 1.0 0.7816046455575991 2000 535.996
117 0.00000030669510 0.00000011976030 1.5 119.0 4045512.0 472887.0 0.00000008874239000 9.08903600 10.57177000 1.0 0.761222799854405 2000 854.264
118 0.00000063265140 0.00000013610370 1.5 86.0 3075929.0 28644.0 0.00000007362974000 0.45837930 5.69768800 1.0 0.9877538987688098 2000 531.338
119 0.00000010010850 0.00000010002530 1.5 133.0 347114.8 61938.0 0.00000003427340000 46.55825000 15.87273000 1.0 0.6184628475001189 2000 639.952
120 0.00000010526260 0.00000010128520 1.5 173.0 2007067.0 866397.0 0.00000002260671000 3.75985500 1.81194100 1.0 0.5318149291999206 1884 326.741
121 0.00000058175140 0.00000010720690 1.5 136.0 211994.5 363960.0 0.00000013391770000 8.36080400 4.93912600 1.0 0.3905840271591805 587 572.143
122 0.00000065401640 0.00000012010560 1.5 110.0 678281.9 658530.0 0.00000000809547200 4.79185100 1.26825400 1.0 0.4652661836148075 1290 949.785
123 0.00000032505510 0.00000010197500 1.5 144.0 717425.6 45236.0 0.00000010562220000 1.63469300 7.23213900 1.0 0.8089493803711264 2000 548.039
124 0.00000013012770 0.00000011895140 1.5 195.0 2206495.0 979102.0 0.00000004523179000 5.11937800 3.60683600 1.0 0.48003688600273187 1848 510.935
125 0.00000048997810 0.00000048688800 1.5 176.0 568458.9 946917.0 0.00000000618522600 5.96166200 9.45443700 1.0 0.38864389371294983 585 410.203
126 0.00000018239980 0.00000017641540 1.5 65.0 2980395.0 285469.0 0.00000002218053000 12.03189000 3.65818300 1.0 0.8284447274947275 2000 938.015
127 0.00000028994430 0.00000022806230 1.5 200.0 3730274.0 55354.0 0.00000003076506000 3.99459500 5.03477100 1.0 0.9344186212079545 2000 1389.64
128 0.00000029784240 0.00000010446260 1.5 184.0 594700.6 256839.0 0.00000001140339000 11.15584000 10.05679000 1.0 0.46611677720384065 1873 411.419
129 0.00000014805920 0.00000014639050 1.5 163.0 4635217.0 671956.0 0.00000014037380000 3.54969400 2.42383700 1.0 0.6541278144253962 2000 1126.66
130 0.00000013689700 0.00000010320330 1.5 104.0 9283169.0 961969.0 0.00000003159000000 10.91816000 5.22372800 1.0 0.8111907519094269 2000 784.722
131 0.00000084065750 0.00000056418520 1.5 91.0 3413251.0 999813.0 0.00000003485650000 57.41300000 4.59977100 1.0 0.6265288861927846 1986 321.244
132 0.00000041091300 0.00000034913630 1.5 95.0 4706921.0 847235.0 0.00000004613514000 65.71121000 6.06824500 1.0 0.7112049708605763 1999 769.669
133 0.00000076498330 0.00000018176800 1.5 55.0 710069.1 239580.0 0.00000006562294000 3.18920400 11.79525000 1.0 0.5689025715374773 1971 415.707
134 0.00000046564980 0.00000046414270 1.5 144.0 3259530.0 678586.0 0.00000002743135000 3.34034800 2.77220800 1.0 0.7031454569794784 1999 1042.11
135 0.00000044249890 0.00000010883750 1.5 74.0 692960.9 551696.0 0.00000002028191000 0.99472380 1.17415300 1.0 0.45076909539676663 1438 1457.29
136 0.00000011946410 0.00000011760760 1.5 84.0 11417010.0 955914.0 0.00000001452576000 10.54365000 1.47332600 1.0 0.7837695530636586 2000 450.353
137 0.00000030005770 0.00000016432930 1.5 114.0 8588513.0 772180.0 0.00000001423947000 13.56414000 4.14417600 1.0 0.8938393610758331 2000 393.805
138 0.00000047677780 0.00000019806240 1.5 122.0 1642364.0 209079.0 0.00000003623785000 0.87835750 2.73252000 1.0 0.7409841139026483 2000 629.88
139 0.00000077859830 0.00000068857000 1.5 88.0 23704060.0 292504.0 0.00000004884722000 59.47617000 2.18043100 1.0 0.9895499697742406 2000 864.501
140 0.00000089106310 0.00000078345140 1.5 90.0 5838413.0 661952.0 0.00000004339878000 2.34184600 2.67338100 1.0 0.8845557983215286 2000 395.964
141 0.00000082208270 0.00000033554900 1.5 72.0 1534806.0 644059.0 0.00000003324540000 8.34989300 5.48447700 1.0 0.6417501566476485 1913 597.009
142 0.00000011129630 0.00000010901560 1.5 149.0 1352169.0 130870.0 0.00000009263314000 1.27427800 6.31649600 1.0 0.702013258531782 2000 1017.33
143 0.00000010020250 0.00000010011180 1.5 195.0 506076.6 648937.0 0.00000005795455000 13.38784000 2.51505100 1.0 0.3841926896121574 876 573.689
144 0.00000015677050 0.00000014767070 1.5 125.0 925215.8 527246.0 0.00000002948753000 2.21595300 11.99635000 1.0 0.4717929560775792 1732 970.577
145 0.00000028396840 0.00000016053550 1.5 108.0 1245955.0 872325.0 0.00000002419981000 4.39613400 3.21719500 1.0 0.47675502857951224 1578 705.209
146 0.00000060029970 0.00000017388080 1.5 111.0 17060400.0 479638.0 0.00000003009281000 0.79795520 4.83808300 1.0 0.9796868962552449 2000 650.856
147 0.00000018550900 0.00000017355640 1.5 195.0 20325790.0 316121.0 0.00000001064359000 0.31485940 3.99020900 1.0 0.9789339242350513 2000 402.803
148 0.00000012544470 0.00000011936690 1.5 151.0 1541723.0 925737.0 0.00000003055591000 6.56323300 2.45827500 1.0 0.49109924717121933 1714 503.507
149 0.00000047681920 0.00000030586720 1.5 57.0 1314819.0 760818.0 0.00000002145288000 5.15648100 4.85141300 1.0 0.5853278714026445 1754 401.217
150 0.00000044353000 0.00000017131770 1.5 136.0 16047300.0 917057.0 0.00000005244655000 5.55235400 4.29965500 1.0 0.9521010164221115 2000 1029.94
151 0.00000014474560 0.00000012078740 1.5 165.0 902442.5 597159.0 0.00000001146035000 5.28633100 4.69622800 1.0 0.4406141577614581 1607 880.108
152 0.00000011898740 0.00000010355140 1.5 181.0 16345000.0 426291.0 0.00000004550670000 6.41161600 9.95425800 1.0 0.946462099981153 2000 749.551
153 0.00000046091070 0.00000015799750 1.5 80.0 259049.1 297643.0 0.00000003918931000 4.83688400 3.42400900 1.0 0.41887679685527784 1054 490.169
154 0.00000019571230 0.00000012251020 1.5 133.0 1557431.0 491585.0 0.00000003031765000 3.33036800 55.14446000 1.0 0.5512169621153779 1964 427.605
155 0.00000036660320 0.00000020151060 1.5 134.0 1217133.0 133030.0 0.00000002584467000 4.58173400 8.26799900 1.0 0.7088478725836149 2000 382.898
156 0.00000048684040 0.00000027617300 1.5 170.0 13026660.0 426474.0 0.00000002291333000 17.35523000 9.27337600 1.0 0.9834228229670359 2000 656.644
157 0.00000092127040 0.00000082759400 1.5 55.0 6118212.0 297366.0 0.00000001279371000 2.17709100 9.25392000 1.0 0.9444940496610308 2000 462.946
158 0.00000013174770 0.00000011315700 1.5 142.0 2195559.0 169580.0 0.00000002916252000 0.64837270 7.10471500 1.0 0.8137760026308722 2000 687.773
159 0.00000023384920 0.00000023256740 1.5 190.0 2190942.0 792191.0 0.00000001514461000 2.23236600 2.31499300 1.0 0.5430409702080011 1939 681.26
160 0.00000095206020 0.00000013263920 1.5 198.0 853760.2 71287.0 0.00000003173444000 1.51795000 3.42222300 1.0 0.745662095026331 2000 798.043
161 0.00000011188910 0.00000010458370 1.5 74.0 1122887.0 257356.0 0.00000007088918000 0.68214350 4.49715200 1.0 0.5998354868567197 1997 377.608
162 0.00000035622600 0.00000011398180 1.5 195.0 2008900.0 977201.0 0.00000006462140000 4.10018000 7.63106200 1.0 0.4988634556329383 1843 824.055
163 0.00000028345210 0.00000022560900 1.5 162.0 539901.5 637230.0 0.00000007954602000 4.22128600 7.03974700 1.0 0.4180102861821353 973 500.072
164 0.00000049726040 0.00000032396670 1.5 123.0 304929.0 33842.0 0.00000006228067000 2.94656900 6.61397400 1.0 0.7333789515918506 2000 553.287
165 0.00000045391250 0.00000036848230 1.5 158.0 3092167.0 147874.0 0.00000002051083000 3.85163400 3.52437900 1.0 0.840633467600208 2000 318.942
166 0.00000021951770 0.00000010319490 1.5 166.0 1074484.0 632553.0 0.00000003674282000 1.32740300 1.18824900 1.0 0.47111832249267394 1704 514.572
167 0.00000061485420 0.00000020598290 1.5 197.0 1294941.0 738256.0 0.00000002503535000 1.81336900 2.88349100 1.0 0.44557853950899634 1720 970.256
168 0.00000042304190 0.00000025850900 1.5 73.0 1481382.0 231745.0 0.00000002405433000 27.03242000 12.72526000 1.0 0.7169940410698177 2000 839.606
169 0.00000013688390 0.00000011518110 1.5 190.0 9516464.0 618794.0 0.00000002680237000 1.86948800 7.58788400 1.0 0.7692646887167047 2000 1531.51
170 0.00000078095660 0.00000010912370 1.5 79.0 1973411.0 490132.0 0.00000005878909000 3.96935000 4.96911100 1.0 0.709125418568773 1994 504.786
171 0.00000031209010 0.00000026476920 1.5 80.0 2648208.0 897365.0 0.00000003065756000 4.11791300 9.94712600 1.0 0.649901899034705 1973 1050.9
172 0.00000036420900 0.00000028552870 1.5 165.0 1414971.0 410123.0 0.00000002932269000 2.15895800 9.95057100 1.0 0.65538518590024 1972 768.76
173 0.00000024134440 0.00000010666350 1.5 120.0 10107610.0 962510.0 0.00000015351180000 2.69317700 5.02533300 1.0 0.8921965874513413 2000 519.77
