026 ASTRALIII 0 1000 114 11 .0965
026 ASTRALIII 0 200 114 11 .0965
026 ASTRALIII 0 500 114 10 .0877
026 ASTRALIII 0 50 114 26 .2281
026 ASTRALIII 0 2000 114 9 .0789
027 ASTRALIII 0 1000 189 4 .0212
027 ASTRALIII 0 200 189 7 .037
027 ASTRALIII 0 500 189 4 .0212
027 ASTRALIII 0 50 189 19 .1005
027 ASTRALIII 0 2000 189 2 .0106
028 ASTRALIII 0 1000 93 1 .0108
028 ASTRALIII 0 200 93 4 .043
028 ASTRALIII 0 500 93 4 .043
028 ASTRALIII 0 50 93 5 .0538
028 ASTRALIII 0 2000 93 1 .0108
029 ASTRALIII 0 1000 179 8 .0447
029 ASTRALIII 0 200 179 18 .1006
029 ASTRALIII 0 500 179 14 .0782
029 ASTRALIII 0 50 179 36 .2011
029 ASTRALIII 0 2000 179 8 .0447
030 ASTRALIII 0 1000 171 7 .0409
030 ASTRALIII 0 200 171 6 .0351
030 ASTRALIII 0 500 171 4 .0234
030 ASTRALIII 0 50 171 10 .0585
030 ASTRALIII 0 2000 171 5 .0292
031 ASTRALIII 0 1000 145 21 .1448
031 ASTRALIII 0 200 145 35 .2414
031 ASTRALIII 0 500 145 21 .1448
031 ASTRALIII 0 50 145 73 .5034
031 ASTRALIII 0 2000 145 13 .0897
032 ASTRALIII 0 1000 132 3 .0227
032 ASTRALIII 0 200 132 8 .0606
032 ASTRALIII 0 500 132 4 .0303
032 ASTRALIII 0 50 132 12 .0909
032 ASTRALIII 0 2000 132 5 .0379
033 ASTRALIII 0 1000 59 1 .0169
033 ASTRALIII 0 200 59 2 .0339
033 ASTRALIII 0 500 59 1 .0169
033 ASTRALIII 0 50 59 1 .0169
033 ASTRALIII 0 2000 59 0 0
034 ASTRALIII 0 1000 54 1 .0185
034 ASTRALIII 0 200 54 1 .0185
034 ASTRALIII 0 500 54 2 .037
034 ASTRALIII 0 50 54 1 .0185
034 ASTRALIII 0 2000 54 2 .037
035 ASTRALIII 0 1000 90 14 .1556
035 ASTRALIII 0 200 90 16 .1778
035 ASTRALIII 0 500 90 15 .1667
035 ASTRALIII 0 50 90 19 .2111
035 ASTRALIII 0 2000 90 14 .1556
036 ASTRALIII 0 1000 51 1 .0196
036 ASTRALIII 0 200 51 1 .0196
036 ASTRALIII 0 500 51 1 .0196
036 ASTRALIII 0 50 51 4 .0784
036 ASTRALIII 0 2000 51 0 0
037 ASTRALIII 0 1000 149 4 .0268
037 ASTRALIII 0 200 149 7 .047
037 ASTRALIII 0 500 149 5 .0336
037 ASTRALIII 0 50 149 19 .1275
037 ASTRALIII 0 2000 149 2 .0134
038 ASTRALIII 0 1000 140 3 .0214
038 ASTRALIII 0 200 140 12 .0857
038 ASTRALIII 0 500 140 6 .0429
038 ASTRALIII 0 50 140 28 .2
038 ASTRALIII 0 2000 140 2 .0143
039 ASTRALIII 0 1000 117 2 .0171
039 ASTRALIII 0 200 117 3 .0256
039 ASTRALIII 0 500 117 1 .0085
039 ASTRALIII 0 50 117 10 .0855
039 ASTRALIII 0 2000 117 2 .0171
040 ASTRALIII 0 1000 77 4 .0519
040 ASTRALIII 0 200 77 7 .0909
040 ASTRALIII 0 500 77 3 .039
040 ASTRALIII 0 50 77 9 .1169
040 ASTRALIII 0 2000 77 4 .0519
041 ASTRALIII 0 1000 109 9 .0826
041 ASTRALIII 0 200 109 10 .0917
041 ASTRALIII 0 500 109 9 .0826
041 ASTRALIII 0 50 109 13 .1193
041 ASTRALIII 0 2000 109 8 .0734
042 ASTRALIII 0 1000 106 5 .0472
042 ASTRALIII 0 200 106 6 .0566
042 ASTRALIII 0 500 106 6 .0566
042 ASTRALIII 0 50 106 6 .0566
042 ASTRALIII 0 2000 106 5 .0472
043 ASTRALIII 0 1000 179 6 .0335
043 ASTRALIII 0 200 179 12 .067
043 ASTRALIII 0 500 179 7 .0391
