V4 V2.x V3.x V5.x V6.x V7.x V2.y V3.y V5.y V6.y V7.y 
292 2000 ASTRALIII non 170 2 0.0118 ASTRALII non 170 2 0.0118
292 50 ASTRALIII non 170 8 0.0471 ASTRALII non 170 8 0.0471
292 500 ASTRALIII non 170 3 0.0176 ASTRALII non 170 3 0.0176
293 1000 ASTRALIII non 83 7 0.0843 ASTRALII non 83 7 0.0843
293 200 ASTRALIII non 83 7 0.0843 ASTRALII non 83 7 0.0843
293 2000 ASTRALIII non 83 5 0.0602 ASTRALII non 83 5 0.0602
293 50 ASTRALIII non 83 11 0.1325 ASTRALII non 83 11 0.1325
293 500 ASTRALIII non 83 7 0.0843 ASTRALII non 83 7 0.0843
294 1000 ASTRALIII non 102 11 0.1078 ASTRALII non 102 11 0.1078
294 200 ASTRALIII non 102 15 0.1471 ASTRALII non 102 15 0.1471
294 2000 ASTRALIII non 102 11 0.1078 ASTRALII non 102 11 0.1078
294 50 ASTRALIII non 102 23 0.2255 ASTRALII non 102 23 0.2255
294 500 ASTRALIII non 102 11 0.1078 ASTRALII non 102 11 0.1078
295 1000 ASTRALIII non 153 8 0.0523 ASTRALII non 153 8 0.0523
295 200 ASTRALIII non 153 16 0.1046 ASTRALII non 153 16 0.1046
295 2000 ASTRALIII non 153 2 0.0131 ASTRALII non 153 2 0.0131
295 50 ASTRALIII non 153 41 0.268 ASTRALII non 153 41 0.268
295 500 ASTRALIII non 153 9 0.0588 ASTRALII non 153 9 0.0588
296 1000 ASTRALIII non 174 9 0.0517 ASTRALII non 174 9 0.0517
296 200 ASTRALIII non 174 20 0.1149 ASTRALII non 174 20 0.1149
296 2000 ASTRALIII non 174 9 0.0517 ASTRALII non 174 10 0.0575
296 50 ASTRALIII non 174 37 0.2126 ASTRALII non 174 37 0.2126
296 500 ASTRALIII non 174 11 0.0632 ASTRALII non 174 11 0.0632
297 1000 ASTRALIII non 179 15 0.0838 ASTRALII non 179 15 0.0838
297 200 ASTRALIII non 179 12 0.067 ASTRALII non 179 12 0.067
297 2000 ASTRALIII non 179 15 0.0838 ASTRALII non 179 15 0.0838
297 50 ASTRALIII non 179 18 0.1006 ASTRALII non 179 18 0.1006
297 500 ASTRALIII non 179 14 0.0782 ASTRALII non 179 14 0.0782
298 1000 ASTRALIII non 56 1 0.0179 ASTRALII non 56 1 0.0179
298 200 ASTRALIII non 56 2 0.0357 ASTRALII non 56 2 0.0357
298 2000 ASTRALIII non 56 1 0.0179 ASTRALII non 56 1 0.0179
298 50 ASTRALIII non 56 4 0.0714 ASTRALII non 56 4 0.0714
298 500 ASTRALIII non 56 1 0.0179 ASTRALII non 56 1 0.0179
299 1000 ASTRALIII non 73 8 0.1096 ASTRALII non 73 8 0.1096
299 200 ASTRALIII non 73 16 0.2192 ASTRALII non 73 16 0.2192
299 2000 ASTRALIII non 73 5 0.0685 ASTRALII non 73 5 0.0685
299 50 ASTRALIII non 73 38 0.5205 ASTRALII non 73 38 0.5205
299 500 ASTRALIII non 73 14 0.1918 ASTRALII non 73 14 0.1918
300 1000 ASTRALIII non 131 8 0.0611 ASTRALII non 131 8 0.0611
300 200 ASTRALIII non 131 21 0.1603 ASTRALII non 131 21 0.1603
300 2000 ASTRALIII non 131 5 0.0382 ASTRALII non 131 5 0.0382
300 50 ASTRALIII non 131 41 0.313 ASTRALII non 131 41 0.313
300 500 ASTRALIII non 131 9 0.0687 ASTRALII non 131 9 0.0687
